ugrhi,macro_land_use,measurement_points,ph,do,bod,tc,tn,tp,ts,turb,temp,wqi,classification
5,industrial,CPIV02900,7.2,0.6,23,2400000,12.06,1.5,442,53,25.0,18,very_bad
5,industrial,CPIV02900,7.2,0.0,34,500000,21.3,9.89,518,50,29.0,13,very_bad
5,industrial,CPIV02900,7.0,0.2,19,1300000,13.31,1.1,1100,114,23.0,16,very_bad
5,industrial,CPIV02900,7.0,3.5,6,33000,9.44,0.418,427,139,23.0,32,bad
5,industrial,CPIV02900,7.1,0.5,21,170000,6.1,0.4,502,42,23.0,21,bad
5,industrial,CPIV02900,7.4,1.5,18,330000,16.01,2.0,296,20,24.0,22,bad
5,industrial,CPIV02900,7.5,1.0,12,17000,17.01,2.0,396,44,23.0,28,bad
5,industrial,CPIV02900,6.6,2.6,6,49000,6.9,0.8,236,48,19.0,34,bad
5,industrial,CPIV02900,7.2,3.0,7,2700,7.4,4.0,206,31,25.0,38,medium
5,industrial,CPIV02900,7.4,3.7,9,10000,16.4,2.0,246,18,23.0,35,bad
5,industrial,CPIV02900,7.3,0.4,42,550000,22.21,3.19,427,23,24.0,14,very_bad
5,industrial,CPIV02900,7.4,1.7,25,35000,16.25,1.44,249,17,27.0,24,bad
5,industrial,CPIV02900,7.2,2.6,9,6167,13.49,0.8,242,24,22.0,37,medium
5,industrial,CPIV02900,7.5,3.8,12,9000,27.0,2.0,374,7,24.1,33,bad
5,industrial,CPIV02900,7.0,4.0,5,55000,6.0,0.3,322,121,23.1,34,bad
5,industrial,CPIV02900,7.5,3.4,7,3500,12.5,0.6,260,22,24.1,43,medium
5,industrial,CPIV02900,7.5,3.4,7,3500,12.5,0.6,260,22,24.1,43,medium
5,industrial,CPIV02900,7.7,3.73,9,5167,11.6,0.6,300,21,25.9,42,medium
5,industrial,CPIV02900,7.6,5.1,16,40000,18.6,2.0,388,18,29.3,33,bad
5,industrial,CPIV02900,6.9,2.0,12,500000,7.0,0.589,429,175,23.0,23,bad
5,industrial,CPIV02900,6.7,0.7,16,230000,7.82,0.521,221,32,22.0,24,bad
5,industrial,CPIV02900,7.2,0.5,20,500000,11.06,0.986,205,30,21.0,20,bad
